wordID,word,count
0,nie,11561
1,tom,7446
2,się,7424
3,jest,6948
4,to,6301
5,w,6196
6,na,4895
7,że,4379
8,z,3405
9,do,3403
10,co,2263
11,czy,2203
12,i,1945
13,jak,1893
14,o,1752
15,mary,1699
16,mi,1654
17,mnie,1587
18,on,1430
19,po,1417
20,ma,1409
21,jestem,1342
22,tego,1294
23,za,1256
24,jesteś,1113
25,mam,1049
26,bardzo,1043
27,był,1003
28,są,968
29,ten,931
30,tak,928
31,toma,926
32,ci,914
33,tym,904
34,ona,860
35,od,853
36,już,841
37,mogę,782
38,kiedy,712
39,być,685
40,mój,671
41,jego,667
42,dla,662
43,cię,662
44,zrobić,656
45,go,653
46,chcę,653
47,domu,651
48,nigdy,650
49,może,648
50,ale,642
51,gdzie,633
52,tu,623
53,tylko,610
54,żeby,606
55,będzie,602
56,jej,601
57,coś,564
58,wiem,556
59,było,550
60,masz,534
61,powiedział,517
62,przez,501
63,proszę,488
64,jeszcze,486
65,wszystko,483
66,dlaczego,478
67,kto,476
68,teraz,468
69,dobrze,466
70,sobie,461
71,nic,450
72,ze,442
73,tam,434
74,tomowi,434
75,możesz,431
76,mu,430
77,zawsze,423
78,naprawdę,422
79,była,419
80,myślę,417
81,muszę,415
82,lubi,402
83,niż,401
84,dużo,400
85,chce,398
86,ciebie,395
87,chciałbym,395
88,jeśli,393
89,chcesz,386
90,mówi,385
91,ja,385
92,ta,384
93,wszyscy,376
94,iść,375
95,lubię,371
96,moja,368
97,więcej,366
98,tej,361
99,a,360
100,by,349
101,wczoraj,335
102,byłem,332
103,moje,329
104,miał,327
105,prawda,326
106,trzy,322
107,ktoś,311
108,tutaj,310
109,twój,306
110,ile,303
111,jutro,301
112,powiedzieć,300
113,dziś,299
114,czasu,299
115,lat,297
116,zbyt,296
117,musisz,294
118,nas,294
119,ją,287
120,będę,283
121,jesteśmy,282
122,trochę,280
123,samochód,279
124,ty,274
125,czas,272
126,dzisiaj,272
127,pan,270
128,bez,270
129,wiele,270
130,robić,264
131,tobą,264
132,moim,259
133,czemu,258
134,mamy,257
135,przed,255
136,możemy,255
137,dzieci,253
138,nikt,251
139,tę,248
140,wygląda,248
141,swoje,247
142,oni,245
143,gdy,244
144,wie,242
145,pracy,239
146,nam,233
147,pieniędzy,233
148,swój,233
149,powinieneś,233
150,bostonie,233
151,mojego,232
152,właśnie,231
153,ich,231
154,dom,226
155,pokoju,226
156,został,225
157,bostonu,224
158,roku,223
159,tomem,223
160,zrobił,221
161,te,220
162,chciał,220
163,ludzi,219
164,często,218
165,raz,218
166,wiesz,216
167,czego,212
168,nadzieję,210
169,myślałem,209
170,musimy,209
171,lepiej,208
172,dzień,207
173,mógł,207
174,jaki,206
175,ojciec,206
176,książkę,206
177,pomóc,204
178,szybko,202
179,sam,202
180,stało,202
181,pod,200
182,zobaczyć,200
183,mówić,200
184,musi,200
185,dwa,195
186,widziałem,193
187,który,192
188,francusku,191
189,aby,191
190,twoje,189
191,dobry,187
192,rzeczy,185
193,rano,185
194,drzwi,185
195,będziesz,185
196,swoją,184
197,,184
198,nim,184
199,prawie,181
200,wiedzieć,180
201,kilka,177
202,twoja,177
203,prostu,177
204,myślisz,176
205,pracę,176
206,pewien,173
207,ludzie,173
208,problem,171
209,pieniądze,171
210,niego,170
211,miałem,169
212,je,169
213,wszystkie,167
214,życie,167
215,sami,167
216,szkoły,165
217,potrzebuję,165
218,swojego,165
219,mną,163
220,siebie,162
221,temu,160
222,też,159
223,każdy,158
224,długo,158
225,mają,157
226,powinienem,157
227,kiedyś,156
228,rozumiem,155
229,stanie,154
230,swojej,154
231,robi,153
232,swoim,151
233,zostać,151
234,cały,149
235,powodu,148
236,wcześniej,148
237,wielu,148
238,mojej,147
239,znam,146
240,lata,146
241,list,145
242,powiedz,145
243,chyba,145
244,nawet,145
245,razem,143
246,tenisa,142
247,pokój,142
248,kim,142
249,porozmawiać,141
250,lubisz,141
251,nocy,140
252,książka,139
253,moją,139
254,poszedł,137
255,dnia,135
256,angielsku,135
257,mieszka,135
258,niej,133
259,kupić,133
260,nowy,132
261,twoim,132
262,przy,131
263,wciąż,131
264,grać,130
265,jakie,130
266,razy,130
267,zajęty,129
268,wieczorem,127
269,uczyć,126
270,więc,125
271,bardziej,125
272,które,125
273,nią,124
274,można,124
275,wydaje,124
276,żebyś,124
277,pies,123
278,im,123
279,znaleźć,122
280,przepraszam,121
281,kocham,121
282,jeść,121
